gid,lbl,lon,lat,val,����ȸ����,�ְ�����,sum,����
마라3880,25321.0,129.0197593,35.11015015,0.7595464498905119,-0.0,0.8248781368478064,1.5844245867383182,1
마라4183,17969.0,129.053181,35.13677484,0.5390107088220295,-0.0,1.0,1.5390107088220295,2
마라4082,19768.0,129.042038,35.12790104,0.5929747727749947,-0.0,0.7987001263766023,1.3916748991515968,3
마라4184,20095.0,129.0533523,35.14578875,0.6027836937936826,-0.0,0.7448998014081963,1.347683495201879,4
마라3980,19011.0,129.0307288,35.1100121,0.5702672706002339,-0.0,0.754829391586929,1.3250966621871627,5
마라3879,21988.0,129.019592,35.10113604,0.659567447580766,-0.0,0.6338689294096407,1.2934363769904067,6
마라4592,17825.0,129.09866,35.21732719,0.5346911839697632,-0.0,0.7080700487452608,1.242761232715024,7
마라4290,28156.0,129.0653629,35.19973041,0.8445870954195037,-0.0,0.3269543238851778,1.1715414193046816,8
마라4178,9035.0,129.0523258,35.09170509,0.2710201877793442,-0.0,0.8766925437804658,1.14771273155981,9
마라4388,29402.0,129.075996,35.18156045,0.881962984071752,-0.0,0.2592525726665463,1.1412155567382982,10
마라4286,22776.0,129.0646716,35.16367522,0.6832048474667786,-0.0,0.45405307817295537,1.137257925639734,11
마라4278,14663.0,129.0632927,35.09156416,0.4398416174220835,-0.0,0.6968766925437804,1.1367183099658638,12
마라4085,21353.0,129.0425482,35.15494291,0.6405195428502863,-0.0,0.4843834627189023,1.1249030055691887,13
마라4077,12959.0,129.0411892,35.08283099,0.38872724000359954,-0.0,0.7167358729012456,1.1054631129048451,14
마라4587,22176.0,129.0977771,35.17225902,0.6652068272490025,-0.0,0.4015165192272973,1.0667233464762997,15
마라3878,11084.0,129.0194247,35.09212193,0.33248342682304943,-0.0,0.7246795450442318,1.0571629718672813,16
마라4086,17759.0,129.0427184,35.16395683,0.5327114017458079,-0.0,0.5177829933200938,1.0504943950659018,17
마라4483,21301.0,129.0860995,35.13634838,0.6389597144314124,-0.0,0.40332189925979417,1.0422816136912065,18
마라4786,24581.0,129.1195532,35.16295379,0.7373488916219214,-0.0,0.29680447734248055,1.034153368964402,19
마라3793,33337.0,129.0109563,35.22746985,1.0,-0.0,0.018775952337967142,1.0187759523379671,20
마라4687,18920.0,129.1087546,35.1721137,0.5675375708672045,-0.0,0.4251669976530059,0.9927045685202104,21
마라3877,14215.0,129.0192575,35.08310779,0.42640309565947737,-0.0,0.5623758801227658,0.9887789757822432,22
