gid,lbl,val,lon,lat,����ȸ����,�ְ�����
마라2182,N/A,0.0000000000000000000000000000000,128.8335604000,35.1303747300,0.000000000000000,0.000000000000000
마라2878,"12689.00",12689.0000000000000000000000000000000,128.9097496000,35.0934469300,0.000000000000000,8.000000000000000
마마6004,"110.00",110.0000000000000000000000000000000,129.2657500000,35.3231921200,0.000000000000000,86.000000000000000
마라3583,"14139.00",14139.0000000000000000000000000000000,128.9873419000,35.1376009600,0.000000000000000,86.000000000000000
마라5693,"57.00",57.0000000000000000000000000000000,129.2196644000,35.2246842000,0.000000000000000,17.000000000000000
마라3793,"33337.00",33337.0000000000072759576141834259033,129.0109563000,35.2274698500,0.000000000000000,104.000000000000000
마라4581,"4220.00",4220.0000000000000000000000000000000,129.0967202000,35.1181767600,0.000000000000000,286.000000000000000
마라3981,"8464.00",8464.0000000000000000000000000000000,129.0308975000,35.1190261400,0.000000000000000,2937.000000000000000
마라4995,N/A,0.0000000000000000000000000000000,129.1431388000,35.2437790800,0.000000000000000,0.000000000000000
마라3288,"865.00",865.0000000000000000000000000000000,128.9552241000,35.1830720500,0.000000000000000,290.000000000000000
마라4077,"12959.00",12959.0000000000000000000000000000000,129.0411892000,35.0828309900,0.000000000000000,3970.000000000000000
마라4997,"10.00",9.9999999999999982236431605997495,129.1435028000,35.2618057700,0.000000000000000,0.000000000000000
마라4696,"56.00",56.0000000000000071054273576010019,129.1103561000,35.2532357000,0.000000000000000,12.000000000000000
마마4807,"197.00",197.0000000000000000000000000000000,129.1343256000,35.3520876600,0.000000000000000,105.000000000000000
마라3992,"7893.00",7893.0000000000000000000000000000000,129.0327574000,35.2181796800,0.000000000000000,85.000000000000000
마라5293,N/A,0.0000000000000000000000000000000,129.1757282000,35.2253005400,0.000000000000000,0.000000000000000
마라4186,"16228.00",16228.0000000000000000000000000000000,129.0536951000,35.1638165200,0.000000000000000,1285.000000000000000
마마4601,"1043.00",1043.0000000000000000000000000000000,129.1112487000,35.2983029800,0.000000000000000,739.000000000000000
마라3676,"9.00",9.0000000000000000000000000000000,128.9971607000,35.0743664000,0.000000000000000,1.000000000000000
마라4987,"12920.00",12920.0000000000000000000000000000000,129.1416865000,35.1716717500,0.000000000000000,285.000000000000000
마라2583,"34.00",34.0000000000000000000000000000000,128.8776043000,35.1388983700,0.000000000000000,0.000000000000000
마라4786,"24581.00",24581.0000000000000000000000000000000,129.1195532000,35.1629537900,0.000000000000000,1644.000000000000000
